"District","District Code","Gender","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","Female",43,7.3
"Achievement First Bridgeport Academy District","=""2850013""","Male",57,10.8
"Achievement First Hartford Academy District","=""2880013""","Female",37,6.0
"Achievement First Hartford Academy District","=""2880013""","Male",58,10.5
"Amistad Academy District","=""2790013""","Female",44,7.2
"Amistad Academy District","=""2790013""","Male",51,10.2
"Andover School District","=""0010011""","Female","N/A","N/A"
"Andover School District","=""0010011""","Male","*","*"
"Ansonia School District","=""0020011""","Female",74,6.5
"Ansonia School District","=""0020011""","Male",157,12.2
"Area Cooperative Educational Services","=""2440014""","Female",64,8.0
"Area Cooperative Educational Services","=""2440014""","Male",169,14.9
"Ashford School District","=""0030011""","Female","*","*"
"Ashford School District","=""0030011""","Male","*","*"
"Avon School District","=""0040011""","Female",14,0.9
"Avon School District","=""0040011""","Male",30,1.8
"Barkhamsted School District","=""0050011""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Male","*","*"
"Berlin School District","=""0070011""","Female",22,1.6
"Berlin School District","=""0070011""","Male",58,4.0
"Bethany School District","=""0080011""","Female","N/A","N/A"
"Bethany School District","=""0080011""","Male","*","*"
"Bethel School District","=""0090011""","Female",26,1.7
"Bethel School District","=""0090011""","Male",100,5.9
"Bloomfield School District","=""0110011""","Female",85,7.4
"Bloomfield School District","=""0110011""","Male",140,12.1
"Bolton School District","=""0120011""","Female","*","*"
"Bolton School District","=""0120011""","Male","*","*"
"Booker T. Washington Academy District","=""2950013""","Female","*","*"
"Booker T. Washington Academy District","=""2950013""","Male","*","*"
"Bozrah School District","=""0130011""","Female","*","*"
"Bozrah School District","=""0130011""","Male","*","*"
"Branford School District","=""0140011""","Female",33,2.3
"Branford School District","=""0140011""","Male",72,4.9
"Brass City Charter School District","=""2900013""","Female",7,3.9
"Brass City Charter School District","=""2900013""","Male",9,5.8
"Bridgeport School District","=""0150011""","Female",739,7.3
"Bridgeport School District","=""0150011""","Male",1265,11.3
"Bristol School District","=""0170011""","Female",157,3.9
"Bristol School District","=""0170011""","Male",360,8.5
"Brookfield School District","=""0180011""","Female",16,1.2
"Brookfield School District","=""0180011""","Male",63,4.6
"Brooklyn School District","=""0190011""","Female",6,1.3
"Brooklyn School District","=""0190011""","Male",21,4.3
"Canaan School District","=""0210011""","Female","N/A","N/A"
"Canaan School District","=""0210011""","Male","N/A","N/A"
"Canterbury School District","=""0220011""","Female","*","*"
"Canterbury School District","=""0220011""","Male","*","*"
"Canton School District","=""0230011""","Female","*","*"
"Canton School District","=""0230011""","Male","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Female",15,3.9
"Capital Preparatory Harbor School District","=""2970013""","Male",52,13.0
"Capitol Region Education Council","=""2410014""","Female",218,4.9
"Capitol Region Education Council","=""2410014""","Male",310,7.1
"Chaplin School District","=""0240011""","Female","N/A","N/A"
"Chaplin School District","=""0240011""","Male","N/A","N/A"
"Cheshire School District","=""0250011""","Female",12,0.6
"Cheshire School District","=""0250011""","Male",56,2.6
"Chester School District","=""0260011""","Female","N/A","N/A"
"Chester School District","=""0260011""","Male","*","*"
"Clinton School District","=""0270011""","Female",21,2.6
"Clinton School District","=""0270011""","Male",52,5.7
"Colchester School District","=""0280011""","Female",32,2.7
"Colchester School District","=""0280011""","Male",60,4.9
"Colebrook School District","=""0290011""","Female","N/A","N/A"
"Colebrook School District","=""0290011""","Male","*","*"
"Columbia School District","=""0300011""","Female","*","*"
"Columbia School District","=""0300011""","Male","*","*"
"Common Ground High School District","=""2680013""","Female","*","*"
"Common Ground High School District","=""2680013""","Male","*","*"
"Connecticut Technical Education and Career System","=""9000016""","Female","*","*"
"Connecticut Technical Education and Career System","=""9000016""","Male",891,13.1
"Cooperative Educational Services","=""2430014""","Female",10,2.9
"Cooperative Educational Services","=""2430014""","Male",29,5.3
"Cornwall School District","=""0310011""","Female","*","*"
"Cornwall School District","=""0310011""","Male","N/A","N/A"
"Coventry School District","=""0320011""","Female",10,1.2
"Coventry School District","=""0320011""","Male",23,2.6
"Cromwell School District","=""0330011""","Female",20,2.0
"Cromwell School District","=""0330011""","Male",72,6.9
"Danbury School District","=""0340011""","Female",191,3.2
"Danbury School District","=""0340011""","Male",435,6.7
"Darien School District","=""0350011""","Female",9,0.4
"Darien School District","=""0350011""","Male",35,1.4
"Deep River School District","=""0360011""","Female","N/A","N/A"
"Deep River School District","=""0360011""","Male","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Female","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","N/A","*"
"Derby School District","=""0370011""","Female",51,8.0
"Derby School District","=""0370011""","Male",110,15.0
"East Granby School District","=""0400011""","Female","*","*"
"East Granby School District","=""0400011""","Male","*","*"
"East Haddam School District","=""0410011""","Female","*","*"
"East Haddam School District","=""0410011""","Male","*","*"
"East Hampton School District","=""0420011""","Female",12,1.3
"East Hampton School District","=""0420011""","Male",29,3.0
"East Hartford School District","=""0430011""","Female",241,7.1
"East Hartford School District","=""0430011""","Male",450,11.8
"East Haven School District","=""0440011""","Female",50,3.4
"East Haven School District","=""0440011""","Male",100,6.5
"East Lyme School District","=""0450011""","Female",14,1.1
"East Lyme School District","=""0450011""","Male",52,3.7
"East Windsor School District","=""0470011""","Female",18,3.3
"East Windsor School District","=""0470011""","Male",54,9.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",19,7.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",28,10.8
"Eastford School District","=""0390011""","Female","N/A","N/A"
"Eastford School District","=""0390011""","Male","*","*"
"Easton School District","=""0460011""","Female","N/A","N/A"
"Easton School District","=""0460011""","Male","*","*"
"EdAdvance","=""2420014""","Female","*","*"
"EdAdvance","=""2420014""","Male","*","*"
"Ellington School District","=""0480011""","Female",22,1.7
"Ellington School District","=""0480011""","Male",78,5.5
"Elm City College Preparatory School District","=""2890013""","Female",15,3.8
"Elm City College Preparatory School District","=""2890013""","Male",50,13.2
"Elm City Montessori School District","=""2910013""","Female","*","*"
"Elm City Montessori School District","=""2910013""","Male","N/A","N/A"
"Enfield School District","=""0490011""","Female",112,4.5
"Enfield School District","=""0490011""","Male",244,8.9
"Essex School District","=""0500011""","Female","N/A","N/A"
"Essex School District","=""0500011""","Male","*","*"
"Explorations District","=""2720013""","Female","*","*"
"Explorations District","=""2720013""","Male","*","*"
"Fairfield School District","=""0510011""","Female",29,0.6
"Fairfield School District","=""0510011""","Male",119,2.3
"Farmington School District","=""0520011""","Female",11,0.5
"Farmington School District","=""0520011""","Male",45,2.1
"Franklin School District","=""0530011""","Female","N/A","N/A"
"Franklin School District","=""0530011""","Male","*","*"
"Glastonbury School District","=""0540011""","Female",28,1.0
"Glastonbury School District","=""0540011""","Male",97,3.2
"Granby School District","=""0560011""","Female","*","*"
"Granby School District","=""0560011""","Male","*","*"
"Great Oaks Charter School District","=""2940013""","Female",33,11.1
